Part,Value,Device,Package,Description,DK order code,DK qty,DK ref
C1,1uF,C-USC0603,C0603,"CAPACITOR, American symbol",311-1372-1-ND,10,Leitshow C1 C4
C2,10uF,C-USC0805,C0805,"CAPACITOR, American symbol",1276-2893-1-ND,10,Leitshow C2 C3
C3,10uF,C-USC0805,C0805,"CAPACITOR, American symbol",-,,
C4,1uF,C-USC0603,C0603,"CAPACITOR, American symbol",-,,
C5,47uF 4V,C-USC0805,C0805,"CAPACITOR, American symbol",445-5987-1-ND,10,Leitshow C5 C6
C6,47uF 4V,C-USC0805,C0805,"CAPACITOR, American symbol",-,,
J1,,AUDIO-JACKPTH,AUDIO-JACK,3.5mm Audio Jack,CP1-3523NG-ND,10,LEITSHOW J1 J2
J2,,AUDIO-JACKPTH,AUDIO-JACK,3.5mm Audio Jack,-,,
J3,FTDI_DEVICE,FTDI_DEVICE,FTDI_DEVICE_SIDE,Connector which mates to FTDI basic or FTDI cable.,-,,
J4,C-GRID-02-70553,C-GRID-02-70553,70553-02,CONNECTOR,WM4900-ND,15,LEITSHOW J4-J8
J5,C-GRID-02-70553,C-GRID-02-70553,70553-02,CONNECTOR,-,,
J6,C-GRID-02-70553,C-GRID-02-70553,70553-02,CONNECTOR,-,,
J7,C-GRID-02-70553,C-GRID-02-70553,70553-02,CONNECTOR,-,,
J8,C-GRID-02-70553,C-GRID-02-70553,70553-02,CONNECTOR,-,,
J9,M25PTH,M25PTH,1X25,"1x25 .1"" header",-,,
MOD1,STM32F4-DISCOVERY,STM32F4-DISCOVERY,STM32F4-DISCOVERY,,497-11455-ND,2,Leitshow MOD1
Q1,CSD17551Q3A,CSD17551Q3A,SON3.3,"CSD17551Q3A 30V, N-Channel NexFET Power MOSFET",296-35025-1-ND,10,Leitshow Q1-Q4
Q2,CSD17551Q3A,CSD17551Q3A,SON3.3,"CSD17551Q3A 30V, N-Channel NexFET Power MOSFET",-,,
Q3,CSD17551Q3A,CSD17551Q3A,SON3.3,"CSD17551Q3A 30V, N-Channel NexFET Power MOSFET",-,,
Q4,CSD17551Q3A,CSD17551Q3A,SON3.3,"CSD17551Q3A 30V, N-Channel NexFET Power MOSFET",-,,
R1,10,R-US_R0603,R0603,"RESISTOR, American symbol",1276-5014-1-ND,25,Leitshow R1-R4
R2,10,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
R3,10,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
R4,10,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
R5,10k,R-US_R0603,R0603,"RESISTOR, American symbol",311-10KGRCT-ND,,Leitshow R5-R8
R6,10k,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
R7,10k,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
R8,10k,R-US_R0603,R0603,"RESISTOR, American symbol",-,,
U1,R-78E5.0-0.5,7805TV,TO220V,Positive VOLTAGE REGULATOR,945-1648-5-ND,5,LEITSHOW U1
U2,IR4427S,IR4427S,SO08,DUAL LOW SIDE DRIVER,IR4427SPBF-ND,10,Leitshow U2 U3
U3,IR4427S,IR4427S,SO08,DUAL LOW SIDE DRIVER,-,,
Socket for discovery board,,,,,S9201-ND,6,LEITSHOW MOD1 SOCKET
Connector housings,,,,,WM2900-ND,25,Leitshow
Connector crimp pins,,,,,WM2510CT-ND,50,Leitshow